이수구분,교과명,분반,학점,담당교수,강의시간
교선,영어쓰기,01,2,임도 현,월15:30-17:30
교선,실용일본어,01,2,박선옥,화11:30-13:30
교선,영상일본어,01,2,박선옥,화13:30-15:30
교선,영상일본어,02,2,노은미,월13:30-15:30
교선,예비부모교육,01,2,손영경,화11:30-13:30
교선,예비부모교육,02,2,손영경,목09:30-11:30
교선,한국문화로배우는영어,01,2,Sarah Choi,목21:20-22:10
교선,토익어휘,01,2,변효정,수13:30-15:30
교선,JLPT중급(N4/N3),01,2,김창남,목13:30-15:30
교선,JLPT고급(N2/N1),01,2,박선옥,수13:30-15:30
교선,21세기한국소설의이,01,2,정연희,"월15:30-17:30,화13:30-15:30"
교선,21세기한국소설의이,02,2,정연희,"수11:30-13:30,수09:30-11:30"
교선,21세기한국소설의이,01,2,Mark,화13:30-15:30
교선,21세기한국소설의이,02,2,Mark,"수09:30-11:30,수11:30-13:30"
교선,초급생활영어회화,03,2,Burman,수11:30-13:30
교선,초급생활영어회화,04,2,Burman,목13:30-15:30
교선,초급생활영어회화,05,2,Burman,화11:30-13:30
교선,초급생활영어회화,06,2,HILL,화13:30-15:30
교선,초급생활영어회화,07,2,HILL,수13:30-15:30
교선,초급생활영어회화,08,2,BRIAN D,목11:30-13:30
교선,초급생활영어회화,09,2,BRIAN D,목13:30-15:30
교선,OPlc,10,2,Sarah Choi,금13:30-15:30
교선,OPlc,11,2,Sarah Choi,화11:30-13:30
교선,OPlc,01,2,Sarah Choi,월11:30-13:30
교선,OPlc,02,2,Sarah Choi,월13:30-15:30
교선,KoreanLanguage(E),01,2,Sarah Choi,금21:20-22:10
교선,역사에서미래를읽다,01,2,박윤선,화15:30-17:30
교선,문학치유,01,2,나병준,수15:30-17:30
교선,언어의이해,01,2,나병모,
교선,언어의이해,02,2,김한규,
교선,다이나믹생활영어회,01,2,Mark,월11:30-13:30
교선,다이나믹생활영어회화,03,2,Sarah Choi,목13:30-15:30
교선,한글과문자론,01,2,박동근,수09:30-11:30
교선,생활한자,01,2,임보연,월11:30-13:30
교선,생활한자,02,2,임보연,월13:30-15:30
교선,한국소설과영화,01,2,장해련,수13:30-15:30
교선,일상문화와철학,01,2,기 더사,화09:30-11:30
교선,일상문화와철학,02,2,기 더사,화11:30-13:30
교선,경제와사회,01,2,권선희,월13:30-15:30
교선,법과여성,01,2,이종덕,화11:30-13:30
교선,법과여성,02,2,이종덕,수13:30-15:30
교선,경제의대중국이해현,01,2,배규한,월18:25-19:15
교선,북한학,01,2,김갑수,목11:30-13:30
교선,공학커뮤니케이션,01,2,이재경,목09:30-11:30
교선,다종교사회와종교문화,01,2,이현,월11:30-13:30
교선,다종교사회와종교문화,02,2,이현,월13:30-15:30
교선,통일인문사회독해,01,2,이철수,월15:30-17:30
교선,ESG경영과리스크관리,01,2,신선해,월15:30-17:30
교선,ESG경영과리스크관리,02,2,신선해,화15:30-17:30
교선,인간의삶과정신건강,01,2,조미영,목09:30-11:30
교선,인간의삶과정신건강,02,2,조미영,목11:30-13:30
교선,대학생을위한부동산법률상식,01,2,법학강사1,월10:00-12:00
교선,대인관계심리,01,2,조미영,월09:30-11:30
교선,대인관계심리,02,2,조미영,월11:30-13:30
교선,통일과한국의미래,01,2,기 서,목09:30-11:30
교선,통일과한국의미래,02,2,기 서,목11:30-13:30
교선,자본주의와시장,01,2,조윤기,월11:30-13:30
교선,리현대사회와심,01,2,유순덕,수11:30-13:30
교선,리현대사회와심,02,2,유순덕,수13:30-15:30
교선,국제사회와정치,01,2,박영만!,월09:30-11:30
교선,국제사회와정치,02,2,정병화,월13:30-15:30
교선,변화와장의탐구,01,2,김덕삼,수19:15-20:05
교선,현대사회와스포츠,01,2,임기태,수11:30-13:30
교선,현대사회와스포츠,01,2,임기태,화09:30-11:30
교선,통합이해와장애의,02,2,조미영,화11:30-13:30
교선,통합이해와장애의,03,2,함현진,수11:30-13:30
교선,제4자산업혁명과자기경영,01,3,김민철,
교선,세계평화와국제기구,01,2,박영만!,수09:30-11:30
교선,세계평화와국제기구,02,2,정임재,수09:30-11:30
교선,SpeciaITopicsinKoreanStudies(E)I,01,2,Sarah Choi,금20:30-21:20
교선,현대사회와인성,01,2,정소명,수13:30-15:30
교선,북한정지사회와한반도통일,01,2,김형석,목13:30-15:30
교선,한반도와국제관계,01,2,정병화,수11:30-13:30
교선,사례로배우는아동발달심리,01,2,함현진,목11:30-13:30
교선,사례로배우는아동발달심리,02,2,함현진,금11:30-13:30
교선,영화로보는도서관과정보사회,01,2,이정호,목11:30-13:30
교선,노동인권의이해,01,3,행정강사4,수10:00-13:00
교선,통일과사회복지,01,2,이철수,화13:30-15:30
교선,테크놀로지와미디어,01,2,,목13:30-15:30
교선,지능정보사회와법,01,2,김명엽,목13:30-15:30
교선,지능정보사회와법,02,2,김명엽,목15:30-17:30
교선,기후위기대응과국제협력제제,01,2,정임재,화11:30-13:30
교선,탄소중립정책의이해,01,2,정임재,화14:30-16:30
교선,상생하는세계시민교육,01,2,정소명,금11:30-13:30
교선,남북한의사회복지,01,2,이철수,화15:30-17:30
교선,인사관리와경영심리,01,2,신선해,월13:30-15:30
교선,인사관리와경영심리,02,2,신선해,"화13:30-15:30,화11:30-13:30"
교선,생태관광과경영,01,2,구』 신 일,
교선,생태관광과경영,02,2,구』 신 일,화13:30-15:30
교선,생태관광과경영,03,2,구』 신 일,화15:30-17:30
교선,현대사회와경찰,01,2,김명엽,수09:30-11:30
교선,현대사회와경찰,02,2,김명엽,수11:30-13:30
교선,남북한의법,01,2,천영성,월13:30-15:30
