페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
53,영어영문학과,1,,022002,기초영어회화 ***영문학개론 스크린영어 시사영어 영어학개론,""" ! #$ 01 02",3 3 3 3 3 3,,,D 백승봉,"수11:30-13:00, 금11:30-13:00 목1 :00-1 :30 월13:30-1 :00, 수1 :30-17:00 수13:30-1 :00 금13:30-1 :00 목1 :30-17:00",인202 - 영어회화실-1 인301 - 영문A/V강의실 인201 - 스마트강의실 인212 - 영문A/V강의실 인213 - 영문A/V강의실,"영문과1학년우선 신청,정정기간제 영문과1학년(홀수 ).자율전공학부만 한해제 영문과 1학년만 신청 가능 가능 영문과2- 학년만 가능,셋째날10시 부터전체"
53,영어영문학과,2,,022603,영미아동문학 AI와영어교육 영미시의이해 실용영문법,,3 3 3 3,,,,목10:00-11:30 금10:00-11:30 목12:00-13:30,인301 - 영문A/V강의실 인212 - 영문A/V강의실 인212 - 영문A/V강의실 인301 - 영문A/V강의실,
53,영어영문학과,3,※ )음영처리 )교과목은 )마이크로전공 )교과목임,022071,미국명작특강 셰익스피어 영소설특강 캡스톤디자인(영어프레젠 테이션) 영어구문분석 현대영미시 미국캐릭터산업의이해,,3 3 3 3 3 3 3,,,Mark Burman,"수12:00-13:30 화13:30-1 :00 목1 :30-17:00 화11:30-13:00, 목11:30-13:00 수1 :00-1 :30 목10:00-11:30 화10:00-11:30",인213 - 영문A/V강의실 인301 - 영문A/V강의실 e-learning(온라인)2 인202-1 - 영어회화실-2 인301 - 영문A/V강의실 인212 - 영문A/V강의실 인213 - 영문A/V강의실,[원격수업]영문과 만신청가능
55,문예콘텐츠창작학과,1 2,,062023,***창의적문예콘텐츠의세 계(입문) 문화콘텐츠로읽는한국문 학 스토리텔링의기초 시쓰기와감성개발 소설쓰기의이해와기초 근대문제작가와서사전략 신화와문화적상상력 광고언어연구,""" ! #$",3 3 3 3 3 3 3 3,,,,목1 :30-17:00 목13:30-1 :00 목10:00-11:30 목10:00-11:30 수10:00-11:30 목13:30-1 :00,인313 - 문창A/V강의실 인313 - 문창A/V강의실 인313 - 문창A/V강의실 인313 - 문창A/V강의실 인310 - 문창A/V강의실 인310 - 문창A/V강의실 인310 - 문창A/V강의실 인310 - 문창A/V강의실,"문창1학년,자율전 공만 문창 1학년 우선 신청/정정기간 신청/정정기간 문창 1학년 우선 신청/정정기간 전체 전체 전체"
55,문예콘텐츠창작학과,1 2,,062039,소설창작세미나,,3,,,,,인310 - 문창A/V강의실,
55,문예콘텐츠창작학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,062602,시나리오창작연습심화 희곡창작연습 문학과상호텍스트성 웹과모바일콘텐츠의실제 아동문예창작연습 캡스톤디자인(포트폴리오 제작Ⅰ),,3 3 3 3 3 3,,,장혜련,목11:30-13:00 수10:00-11:30 목11:30-13:30,인313 - 문창A/V강의실 인313 - 문창A/V강의실 인302 - 문화콘텐츠A/V강의실 정보 202 정보실습실B 인313 - 문창A/V강의실 인310 - 문창A/V강의실,4학년만 신청 가능
59,시각디자인학과,1,,812210,***디자인론 컴퓨터그래픽Ⅰ 조형I 관찰과표현기법,""" ! #$",2 3 2 2,,0,시각강사1 박상희 시각강사,목13:30-16:30,예310 - 시각실습실 3 예1131- 시각컴퓨터실 1 예10 1-시각실습실2 예10 1-시각실습실2,시각디자인학과 우선 신청/3일차 시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 시각디자인학과 우선 신청/3일차
59,시각디자인학과,1,,812606,디지털일러스트레이션,01 02,2 2,,,시각강사3 김현,,예312 - 시각실습실 예310 - 시각실습실 3,제한 해제 시각디자인학과 우선 신청/3일차 제한 해제 중국인 유학생 전용 분반/내국인 제한 해제
59,시각디자인학과,2,,812607,비주얼인포메이션디자인,01 02,2 2,,,윤여경,수13:30-16:30 월13:30-16:30,예312 - 시각실습실 예10 - 시각실습실1,시각디자인학과 우선 신청/3일차 제한 해제 중국인 유학생 전용 분반/내국인
59,시각디자인학과,2,,812608,AI프롬프트디자인Ⅰ,,2,,,시각강사,목09:30-12:30,예10 1-시각실습실2,수강 금지 시각디자인학과 우선 신청/3일차 제한 해제
59,시각디자인학과,2,,812603,디자인교과교육론,,3,,,,,예312 - 시각실습실,시각디자인학과 우선 신청/3일차 수강 금지
59,시각디자인학과,3,,812613,지역기반프로모션디자인 Ⅰ 웹인터페이스디자인Ⅰ 타이포그래피디자인Ⅰ 커뮤니케이션디자인I,,3 3 3 2,,,시각강사2 윤여경 시각강사1 이혜준,,예10 - 시각실습실1 예312 - 시각실습실 예1131- 시각컴퓨터실 1 예310 - 시각실습실 3,시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 제한 해제 시각디자인학과 우선 신청/3일차 제한 해제
59,시각디자인학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,812213,에디토리얼디자인Ⅰ 시각디자인Ⅰ 취창업세미나(시각디자인) 디자인교과교재연구및지 도법 패키지디자인I,01 02 01 02 03 01,3 3 3 3 3 3 3 3,,,시각강사1 시각강사3 시각강사 이혜준 시각강사2,화09:30-13:30 화13:30-17:30,예1131- 시각컴퓨터실 1 예312 - 시각실습실 예10 1-시각실습실2 예310 - 시각실습실 3 예10 - 시각실습실1 예312 - 시각실습실 예310 - 시각실습실 3,시각디자인학과 우선 신청/3일차 제한 해제 중국인 유학생 전용 분반/내국인 제한 해제 시각디자인학과 제한 해제 우선 신청/3일차 수강 금지 중국인 유학생 전용 분반/내국인 시각디자인학과 제한 해제 우선 신청/3일차 시각디자인학과 우선 신청/3일차 수강 금지 시각디자인학과 우선 신청/3일차 제한 해제 제한 해제
67,실용음악학과,,,860006,방송댄스1,01 02,2 2,,,김지영,화12:30-1 :30 화1 :30-16:30,음106 - K-POP Hall,실용음악학과 1학년 학생 우선
67,실용음악학과,1 2,,860019,"퍼포먼스워크샵1 세션앙상블1 발성과딕션1 ***화성과실용음악이론기 초 전공실기심화(보컬,송라이 팅,미디작곡)1","01 02 "" ! #$ 01 02 03 0 0 06 07 08 09 10 11 12 13 1 1",2 2 2 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,,2,권상희 박봄 권상희 박민주 김여진 이길상,수11:30-12:30 수11:30-12:30 월11:30-12:30 목10:30-11:30,음대101 - Concert Hall 음대101 - Concert Hall 음31 - 음악감상실 음108 - 시청각실 음108 - 시청각실 음207 - 레슨실 음202-1 - 레슨실 음31 -1 - 레슨실 음202-1 - 레슨실 음203 - 레슨실 음202-1 - 레슨실 음203 - 레슨실,실용음악학과 1학년 학생 우선 수강신청 실용음악학과 1학년 학생 우선 수강신청 실용음악학과 1학년 학생 우선 실용음악학과 수강신청 1학년 학생 우선 수강신청 수강신청 실용음악학과 2학년 학생만 수강가능
68,실용음악학과,2,전필,860003,"전공실기심화(보컬,송라이 팅,미디작곡)1 실용음악화성학1",16 17 18 19 20 21 22 23 2,1 1 1 1 1 1 1 1 1 2,,0,김찬오 실용강사3,금11:30-12:30 월09:30-10:30,음312 - 레슨실 음202-1 - 레슨실 음31 -1 - 레슨실 음108 - 시청각실,실용음악학과 2학년 학생만 수강가능
68,실용음악학과,2,전필,860016,컴퓨터음악응용1,,2,,,,,음102 - D.A.W Lab,실용음악학과 2학년 학생 우선
68,실용음악학과,2,전선,860032,퍼포먼스워크샵3 세션앙상블3,01 02,2 2 2,,,권상희,,음대101 - Concert Hall 음대101 - Concert Hall 음31 - 음악감상실,실용음악학과 2학년 학생 우선 실용음악학과 수강신청 2학년 학생 우선
68,실용음악학과,3,※ )음영처리 )교과목은 )마이크로전공 )교과목임,862601,"앙상블Ⅰ 생성형AI송라이팅1 전공실기심화(보컬,송라이 팅,미디작곡)3",01 02 03 0 0 06 07,2 2 1 1 1 1 1 1 1,,,이길상 주형우 박봄,화1 :30-16:30 목10:30-11:30,음106 - K-POP Hall 음102 - D.A.W Lab 음202-1 - 레슨실 음312 - 레슨실,수강신청 실용음악학과 2학년 학생 우선 실용음악학과 수강신청 2학년 학생 우선 수강신청 수강신청 3학년 학생만 수강가능
69,실용음악학과,3,전필 전선 전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,860030,"전공실기심화(보컬,송라이 팅,미디작곡)3 스튜디오프로듀싱1 대중음악사1 관현악편곡법Ⅰ 앙상블Ⅲ 퍼포먼스워크샵 미디어콘텐츠제작기초 스튜디오프로듀싱응용1 전공실기심화(보컬,송라이 팅,미디작곡)",08 09 10 11 12 13 1 1 16 17 01 02 03 0 0 06,1 1 1 1 1 1 1 1 1 1 2 2 1 2 2 3 2 1 1 1 1 1 1,,0,실용강사 유영하 이길상 권상희 마준호 유영하 김여진 주형우,월09:30-10:30 월12:30-13:30 화13:30-1 :30,음312 - 레슨실 음202-1 - 레슨실 음31 -2 - 레슨실 음102 - D.A.W Lab 음108 - 시청각실 음102 - D.A.W Lab 음106 - K-POP Hall 음대101 - Concert Hall 음101 - 스튜디오실 음102 - D.A.W Lab 음202-1 - 레슨실 음203 - 레슨실,실용음악학과 3학년 학생만 수강가능 실용음악학과 3학년 학생 우선 실용음악학과 3학년 학생 우선 수강신청 실용음악학과 3학년 학생 우선 실용음악학과 3학년 학생 우선 수강신청 실용음악학과 3학년 학생 우선 수강신청 실용음악학과 4학년 학생 우선 수강신청 수강신청 수강신청 4학년 학생만 수강가능
71,한국어문학과,2 3,,012118,한국문화교육론(3영역) 현대시의이론과실제 한국어문법교육론(3영역) 외국어로서의한국어교육 실습( 영역) 한국어평가론(3영역),01,3 3 3 3 3,,,,목11:00-12:30 목09:30-11:00,인31 - 국문A/V강의실 인306 - 국문A/V강의실 인31 - 국문A/V강의실 인306 - 국문A/V강의실 인31 - 국문A/V강의실,조기취업자 수강금지
73,글로벌경제학과,1,,112090,경제학원론 ***경제학입문,01 02,3 3 3,,,조윤기,"화1 :00-1 :30, 수11:30-13:00 목1 :00-1 :30 목1 :30-17:00",사 11 - 경제A/V강의실 사310 -글로벌경제학과 A/V강의실 사310 -글로벌경제학과 A/V강의실,글로벌경제학과 1학년만 수강 경제1학년수강금 지/경제학입문동 경제학과수강금 지/경제학원론동 가능
73,글로벌경제학과,1,전필,112093,개인재무설계 미시경제학 거시경제학,""" ! #$",3 3,,,,수10:00-11:30,사 0 - 사회과학관멀티미디어 사 11 - 경제A/V강의실 사 11 - 경제A/V강의실,"시수강금지 [원격수업]첫째,둘 째경제1학년/셋 시수강금지"
73,글로벌경제학과,2 3,전선 전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,112168,기업회계 글로벌경제의이해 화폐금융 산업경제 국제경제 캡스톤디자인(글로벌경제 현상분석) 전략적사고,01 02,3 3 3 3 3 3 3 3 3,,,권선희 권선희,"화11:30-13:00, 수11:30-13:00 목11:30-13:00 목10:00-11:30 수10:00-11:30",실 사311 - e-강의실 사311 - e-강의실 사 0 - 사회과학관멀티미디어 사 11 - 경제A/V강의실 사310 -글로벌경제학과 A/V강의실 실 사310 -글로벌경제학과 A/V강의실 사302 - 디지털정보처리실 사310 -글로벌경제학과 A/V강의실,째날전체 금지 [원격수업] 글로벌경제학과 생수 강금 지
74,경영학과,1,전필 전선,121083,경영통계학 ***경영학원론,"01 02 "" ! #$",3 3 3,,,,목11:30-13:00 목1 :00-1 :30,사 01 - 경영A/V강의실 사206- e-강의실,경영학과 1학년만 수강신청 가능 수강신청 가능 수강신청 가능
74,경영학과,1,전필 전선,122097,재무회계,01 02,3 3,,,장석진,"화10:00-11:30, 목10:00-11:30 목11:30-13:00 화1 :00-1 :30,",사202 - e-강의실,첫째날 경영2학년/둘째
74,경영학과,1,전필 전선,122099,마케팅관리,01 02 03,3 3 3,,,경영강사2,목1 :00-1 :30 목1 :30-17:00 화11:30-13:00,사202 - e-강의실 사312 - 경영학과 A/V강의실,첫째날 경영2학년/둘째 날 경영/셋째날 타학과만 수강신청 가능
74,경영학과,2,전필 전선,122100,조직행동론,01 02,3 3,,,김정식,"월1 :00-1 :30, 수1 :00-1 :30",사206- e-강의실 e-learning(온라인)2,첫째날 경영2학년/둘째 날경 영 전체 [원격수업]경영학 과 수강신청 금지
74,경영학과,3,전필 전선,122126,계량의사결정론 e-비즈니스 증권투자론 원가.관리회계 서비스운영관리 공급사슬관리,01 02 03 01 02 03 01 02 01 02,3 3 3 3 3 3 3 3 3 3 3 3,,,류성열 경영강사1 장석진,"수10:00-11:30 월11:30-13:00, 수11:30-13:00 화11:30-13:00, 목11:30-13:00 수1 :30-17:00 월11:30-13:00, 수11:30-13:00 화1 :00-1 :30 목1 :00-1 :30",사 01 - 경영A/V강의실 사206- e-강의실 e-learning(온라인)1 사206- e-강의실/사312 - 경영학과 A/V강의실 사20 - e-강의실 사312 - 경영학과 A/V강의실 사201 - e-강의실 e-learning(온라인)1 사313 - e-강의실 사 01 - 경영A/V강의실 사 01 - 경영A/V강의실,첫째날 경영2학년/둘째 날 경영/셋째날 첫째날 경영2학년/둘째 날 경영/셋째날 전체 [원격수업] 경영학과 날 경영/셋째날 첫째날 전체 경영3학년/둘째 수강신청 금지 타학과만 수강신청 가능 전체 첫째날 경영3학년/둘째 날경 영전 체 [원격수업] 경영학과 첫째날 경영3학년/둘째 날 경영/셋째날 타학과만 수강신청 가능 수강신청 금지 첫째날 경영3학년/둘째 날경 영전 체 전체
75,경영학과,,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,122111,소비자행동론 경영분석 경영전략론 취창업세미나(경영) 비즈니스애널리틱스,01 02 01 02 01 02,3 3 3 3 3 3 3 3,,,김정식,"수11:30-13:00 화1 :00-1 :30 목1 :00-1 :30 월1 :30-17:00, 목1 :30-17:00 목11:30-13:00",사 01 - 경영A/V강의실/사208 - 사312 - 경영학과 A/V강의실 사208 - e-강의실/사312 - 경영학과 A/V강의실 e-강의실 사312 - 경영학과 A/V강의실 사 01 - 경영A/V강의실 e-learning(온라인)2 사206- e-강의실 사302 - 디지털정보처리실,첫째날 경영 학년/둘째 타학과만 수강신청 가능 첫째날 경영 학년/둘째 날경 영전 체 타학과만 수강신청 가능 첫째날 경영 학년/둘째 날경 영전 체 [원격수업] 경영학과 첫째날 경영 학년/둘째 날 경영/셋째날 첫째날 경영 학년/둘째 수강신청 금지 날 경영/셋째날 전체 날 경영/셋째날 전체 전체
76,국제통상학과,1,전필,132082,비즈니스영어 ***국제통상학의이해 국제통상실무I,"01 02 "" ! #$ 01 02",3 3 3 3 3,,,맹철규 손상기,"화10:00-11:30, 수10:00-11:30 수11:30-13:00 화11:30-13:00, 수11:30-13:00",사311 - e-강의실 e-learning(온라인)1 사202 - e-강의실 사306 - 국제통상 A/V강의실 e-learning(온라인)1,"첫째날,둘째날 국통 [원격수업]국제통 상학과 수강신청 국제통상학과 1학년만 수강신청 1학년/셋째날 금지 국제통상학과 2학년만 수강신청 가능 전체 [원격수업]국제통 상학과 수강신청"
76,국제통상학과,2,전선,132031,국제금융론 무역관련기본법규 글로벌e-Business 대금결제론,01 02 01,3 3 3 3 3,,,고재길,"월10:00-11:30, 화10:00-11:30 화13:30-1 :00 목11:30-13:00",사307 - 국제통상 A/V강의실 e-learning(온라인)1 사308 - 국제통상A/V강의실 사308 - 국제통상A/V강의실 사306 - 국제통상 A/V강의실,"첫째날,둘째날 국통/셋째날 전체 가능 [원격수업]국제통 상학과 수강신청 금지 첫째날,둘째날 국통/셋째날 전체 첫째날,둘째날 국통/셋째날 전체 금지 첫째날,둘째날 국통3, 학년만/셋"
76,국제통상학과,2,전선,132033,국제운송론,,3,,,,목1 :00-1 :30,사308 - 국제통상A/V강의실,"첫째날,둘째날 국통/셋째날 전체"
76,국제통상학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,132601,"디지털무역론 무역과통상정책 신용장클레임사례 동북아통상론 국제경영전략 취창업세미나(국통) 국제유통세미나 캡스톤디자인(무역,e-Busi ness)",01 02,3 3 3 3 3 3 3 3 3,,,손상기 정필성 고재길,"수1 :00-1 :30 목10:00-11:30 화10:00-11:30 화11:30-13:00 수10:00-11:30, 목10:00-11:30 목11:30-13:00",사306 - 국제통상 A/V강의실 사307 - 국제통상 A/V강의실 사306 - 국제통상 A/V강의실 사307 - 국제통상 A/V강의실 사306 - 국제통상 A/V강의실 e-learning(온라인)1 사307 - 국제통상 A/V강의실 사308 - 국제통상A/V강의실 사307 - 국제통상 A/V강의실,"첫째날,둘째날 국통/셋째날 전체 째날 전체 첫째날,둘째날 국통/셋째날 전체 국제통상학과 3, 학년만 첫째날,둘째날 국통/셋째날 전체 국제통상학과 4학년만 수강신청 수강신청 가능 [원격수업]국제통 상학과 수강신청 국제통상학과 4학년만 수강신청 가능 3, 학년만 수강신청 가능 금지 국제통상학과 3, 학년만 가능 수강신청 가능"
78,중국학전공,1 2,,261003,기초중국어회화1 ***중국지역학입문 초급중국어1 중급중국어1 한중무역실무 중국문학개론,"01 02 03 "" ! #$ 01 02 01 02 01 02",3 3 3 3 3 3 3 3 3 3 3,,,최금단 여문리 박상림,"화1 :00-1 :30, 수10:00-11:30 목10:00-11:30 목11:30-1 :30 수10:00-11:30, 목10:00-11:30 목1 :00-1 :30",국10 - 국제A/V강의실/인306 - 국312 -국제A/V강의실 국10 - 국제A/V강의실 국문A/V강의실 e-learning(온라인)2 국312 -국제A/V강의실 국 07 - 중국A/V강의실 e-learning(온라인)2 국 0 - 중국A/V강의실 국310 - 국제A/V강의실,중국학전공 1학년만 수강가능 중국학전공(중국 어트랙) 학년만 [원격수업]중국학 전공 1학년만 수강가능 중국학전공 수강가능 1학년만 수강가능 첫째날 중국2학년/둘째 [원격수업]중국학 전공만 날 중국/셋째날 중국학전공(중국 어트랙) 학년만 첫째날 중국2학년/둘째 수강/그외학과문
78,중국학전공,3,,262076,중급중국어회화1 외국어교과교육론 외국어교과논리및논술 미디어중국어 중국기업분석 중국어작문1,01 02 03 01 02 01 02 03,3 3 3 3 3 3 3 3 3 3 3,,,동총,금10:00-11:30 목11:30-13:00 목1 :00-1 :30 수10:30-13:30,국10 - 국제A/V강의실 국 07 - 중국A/V강의실 인213 - 영문A/V강의실 국 07 - 중국A/V강의실 국10 - 국제A/V강의실 국 0 - 중국A/V강의실 국 0 - 중국A/V강의실 국 0 -1 - 강의실 국 07 - 중국A/V강의실,"전체 첫째날 수강가능 중국2학년/둘째 날 중국/셋째날 의 중국학전공(중국 어트랙) 학년만 날 중국/셋째날 교직이수 학생만 수강가능 전체 교직이수 학생만 수강가능 수강가능 첫째날 중국3학년/둘째 전체 첫째날 중국3학년/둘째, 중국학전공(중국 어트랙) 학년만 날 중국/셋째날 첫째날 세째날 중국 중국3학년/둘째 수강가능 전체 중국학전공(중국 어트랙) 학년만 날 중국/셋째날"
83,공공인재법학과,1 2,전필 전선,162097,헌법I ***법학입문 형법총론 물권법 행정법총론 헌법재판과판례 LEET연습,"01 02 01 02 "" ! #$ 01 02 01 02 01 02 01",3 3 3 3 3 3 3 3 3 3 3 3 3,,,김도협 최용전 이종덕 최용전,"목09:30-12:30 월13:30-1 :00, 목13:30-1 :00 수11:30-13:00 목11:30-13:00, 금11:30-13:00 월10:00-11:30, 수10:00-11:30 수1 :30-17:00 목10:00-11:30, 금10:00-11:30",대101 - e-강의실 e-learning(온라인)2 대101 - e-강의실 대302 - 강의실 대106 - 법학A/V실 대106 - 법학A/V실 대302 - 강의실 대101 - e-강의실/대109 - 교양A/V강의실 e-learning(온라인)2 대109 - 교양A/V강의실 대302 - 강의실 대106 - 법학A/V실 대106 - 법학A/V실,첫째둘째날 법학과1학년/셋 [원격수업]법학과 수강불가 째날 10시 전체 수강신청 가능 수강신청 가능 [원격수업]법학과 수강불가 수강신청 가능
83,공공인재법학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,162601,상법Ⅰ 공직선거법 가족정책법 민사소송법실무Ⅰ 형사소송법I AI시대의노동법 부동산법Ⅱ 실용행정법,02 01 02,3 3 3 3 3 3 3 3 3,,,이종덕 김명엽 최대호 이종덕,"화11:30-13:00 월10:00-11:30, 화10:00-11:30 수10:00-11:30 목1 :30-17:00",대302 - 강의실 대302 - 강의실 대101 - e-강의실/대109 - 교양A/V강의실 대109 - 교양A/V강의실 대106 - 법학A/V실 대203 - 수업행동분석실 대101 - e-강의실/대106 - 법학A/V실 대109 - 교양A/V강의실 대109 - 교양A/V강의실/대101 -,수강신청 가능 수강신청 가능 이중언어과정만 수강신청 가능
85,행정정보학과,1 2,전필 전선,172006,행정학원론 ***기초행정학 행정과컴퓨터프로그래밍 행정조사방법론 정책학 행정조직관리론,""" ! #$",3 3 3 3 3 3,,,,목11:30-13:00 목1 :30-17:00 목13:30-1 :00 금11:30-13:00 금10:00-11:30,대102 - 강의실 대102 - 강의실 정보 310 스마트강의실 대102 - 강의실 사209 - e-강의실 대10 - 행정A/V실/대102 -,"행정정보학과 1학년만 수강신청 행정정보학과 1학년만 수강신청 가능 행정정보학과 1학년만 수강신청 가능 행정정보학과,부- 복수전공생만 가능 신청가능"
85,행정정보학과,3,전필 전선,172010,공공데이터베이스관리론 NCS기반취업설계 지방재정론 캡스톤디자인(지역발전) 전산회계실무,,3 3 3 3 3,,,홍성우,금13:30-1 :00 목13:30-1 :00 수10:00-11:30 목13:30-1 :00,정보 310 스마트강의실 대102 - 강의실 강의실 대102 - 강의실 대10 - 행정A/V실 정보 06 정보실습실H,"행정정보학과,부- 복수전공생만 신청가능 절대평가"
85,행정정보학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,172602,행정법개론 공기업론 AI행정실무 행정공공이론 빅데이터시각화,,3 3 3 3 3,,,,수13:30-1 :00 수10:00-11:30 화1 :30-17:30 수1 :30-17:00,대10 - 행정A/V실 대10 - 행정A/V실 대10 - 행정A/V실 대109 - 교양A/V강의실 정보 310 스마트강의실,"행정정보학과,부- 복수전공생만 신청가능"
86,사회복지학과,,,191001,***사회복지학개론,""" ! #$",3,,,,수13:30-1 :00,대10 - 사복A/V실,가능
86,사회복지학과,1,,192601,문화다양성과사회복지 사회복지현장의탐색,,3 3,,,배종필,금11:30-13:00,대10 - 사복A/V실 사208 - e-강의실,가능
86,사회복지학과,1,,192007,가족복지론,01 02,3 3,,,김소희,"화11:30-13:00, 목11:30-13:00 목1 :00-1 :30",사209 - e-강의실,둘째날 10시 전체
86,사회복지학과,2,,192017,장애인복지론,01 02,3 3,,,,목10:00-11:30 금10:00-11:30,대109-2 - 사복 e-강의실,첫째날 사복 / 둘째날 10시 전체
86,사회복지학과,2,,192027,사회복지조사론 사회복지법제와실천,01 02 01,3 3 3,,,사회강사2 사회강사2,"월1 :00-1 :30, 수11:30-13:00 수1 :00-1 :30 월11:30-13:00, 금11:30-13:00",대109-2 - 사복 e-강의실 대109-2 - 사복 e-강의실,첫째날 사복 / 둘째날 10시 전체 첫째날 사복 /
86,사회복지학과,2,,192031,사회복지실천기술론,02 01 02,3 3 3,,,이수비,"금1 :00-1 :30 화12:00-13:30, 수10:00-11:30 목10:00-11:30",사20 - e-강의실,둘째날 10시 전체 둘째날 10시 전체
86,사회복지학과,3,,192036,사회복지정책론 프로그램개발과평가 학교사회복지론,01 02 01 02,3 3 3 3 3,,,안치민 김소희,"화1 :30-17:00, 목13:30-1 :00 목1 :30-17:00 월11:30-13:00, 수11:30-13:00 수1 :00-1 :30",대10 - 사복A/V실 사20 - e-강의실 사201 - e-강의실,둘째날 10시 전체 둘째날 10시 전체
86,사회복지학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,192602,사회복지현장실습II 사례관리론 AI기반사회문제해결과복 지실무,01 02,3 3 3 3,,,배종필 정명희 이수비,수11:30-1 :30 목11:30-1 :30,대10 - 사복A/V실 사201 - e-강의실 정보 03 정보실습실J 정보 0 정보실습실I,둘째날 10시 전체 동계방학 및 1학기중 실습자만 둘째날 10시 전체 가능 사회복지학과만 신청가능
90,문헌정보학과,1,전필,222001,***문헌정보학개론 고전자료의이해 지식정보사회론 학교도서관경영의이해 문헌분류론,""" ! #$ 01",3 3 3 3 3,,,윤현수,"목09:30-11:00 목13:30-1 :00 월1 :00-1 :30, 화1 :30-17:00",인208 - 교직A/V강의실 인31 - 문정A/V강의실 인208 - 교직A/V강의실 인31 - 문정A/V강의실 인316 - 문헌정보학과실습실,문정 1학년만 신청/3월 3일 문정 1학년만 신청/3월 3일 1 0 시이 후해 제 문정 1학년만 신청/3월 3일 문정 1학년만 신청/3월 3일 1 0 시이 후해 제 학번 끝자리 홀수만 신청 1 0 시이 후해 제 학번 끝자리
90,문헌정보학과,2 3,전선,222026,서지학(문헌학)개론 데이터사이언스의이해 도서관정보센터경영이론 고서감정법 자료조직연습 데이터큐레이션,02,3 3 3 3 3 3,,,,화1 :00-1 :30 금09:30-11:00 목13:30-1 :00 화09:30-11:00,인31 - 문정A/V강의실 인316 - 문헌정보학과실습실 인208 - 교직A/V강의실 인31 - 문정A/V강의실 인316 - 문헌정보학과실습실 인316 -,짝수만 신청 1 0 시이 후해 제 1일차 문정과만 신청/2일차 10시 이후 해제 1일차 문정과만 신청/2일차 10시
90,문헌정보학과,2 3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,222087,도서관정보센터경영실무 도서관실습 데이터베이스운영론 취창업세미나(문헌정보) 도서관정책론 캡스톤디자인(지역사회와 공공도서관),,3 3 3 3 3 3 3,,,심효정 심효정,수11:30-13:00 금10:00-11:30 금11:30-13:30 목11:30-13:00,문헌정보학과실습실 인31 - 문정A/V강의실/인316 - 인31 - 문정A/V강의실 인316 - 문헌정보학과실습실 문헌정보학과실습실 인31 - 문정A/V강의실 인208 - 교직A/V강의실 인31 - 문정A/V강의실,"이후 해제 문정 3, 학년만 신청"
94,에코응용화학전공,,전필,732087,생화학 기능성소재학1,,3,,,,수13:30-1 :00,공나B 02 - 강의실(공용) 공나B 01 -,
94,에코응용화학전공,3,전선 전선,731016,유기화학실험 유기반응론 바이오센서공학 FL:응용재료학 생활화학제품제조학실습,,3 3 3 3 3 3,,,홍승택 채원석,화11:30-13:00 목13:30-1 :00 수11:30-13:00 화10:00-11:30,강의실(공용) 공나B 01 - 강의실(공용)/공나B 13 공나B 02 - 강의실(공용) 공나B 02 - 강의실(공용) - 전공기초실험실 공나B 01 - 강의실(공용) 공나B 01 - 강의실(공용)/공나B 13 - 전공기초실험실,
95,간호학과,1,전필,771003,간호학개론 심리학의이해,01 02 01 02,2 2 2 2,,0 0 0 0,양화미 김수미,수11:30-13:30 월11:30-13:30,산학 06 - 강의실 산학316 - 강의실,간호학과 재학생만 간호학과 재학생만 수강가능
95,간호학과,1,전기,771069,다문화의이해,01 02,2 2,,0 0,강순남,수09:30-11:30,산학316 - 강의실,간호학과 재학생만 수강가능
95,간호학과,1,전필,771070,비판적사고와간호과정 기본간호학Ⅰ,01 02 01 02 01 02,2 2 2 2 1 1,,0 0 0 0,오영경 구민경 구민경 오수일,금09:30-11:30 월09:30-11:30,산학316 - 강의실 산학307 - 스마트강의실,간호학과 재학생만 수강가능 간호학과 재학생만 수강가능 수강가능
95,간호학과,2,전선,771081,기본간호학실습Ⅰ 간호와영양 보완대체요법,03 0 0,1 1 1 1 1,,,장경민 구민경,목09:30-11:30 목11:30-13:30,산학 103 기본간호학 강의실 산학316 - 강의실 산학316 - 강의실,간호학과 재학생만 수강가능 간호학과 재학생만 간호학과 재학생만
95,간호학과,2,전선,771009,인간관계와의사소통,01 02,2 2,,0 0,김수미,화11:30-13:30,산학316 - 강의실,간호학과 수강가능 재학생만 수강가능
