페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
113,전기공학과,2,전선,522023,전자기학I 프로그래밍언어1,,3,,,,금11:30-13:00,공다A 210 - 강의실(공용) e-learning(온라인)1,날1 시전체 [원격수업]전기2 학년만/변경둘째
113,전기공학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,522601,AI활용마이크로컨트롤러 응용 전기기기I 능동소자물성공학 전력공학 전기설비설계 고전압대전력공학 전력전자공학Ⅱ 캡스톤디자인(전기Ⅰ) 발전공학,,3 3 3 3 3 3 3 3 3 3,,,김종수 전기강사2 김남준 차준민,금11:30-13:00 금10:00-11:30 화10:00-11:30 목11:30-13:00 화11:30-13:30 금10:00-11:30,공다B 202 - 전력시스템실험실 공다A 21 - 강의실(공용) 공다A 210 - 강의실(공용) 공다A 21 - 강의실(공용)/공다A 210 공다A 21 - 강의실(공용) 공다B 202 - 전력시스템실험실/공다 - 강의실(공용) 공다A 21 - 강의실(공용) 공다B 31 - 캡스톤디자인실 A 210 - 강의실(공용) 공다B 31 - 캡스톤디자인실/공다B 202 - 전력시스템실험실,날1 시전체 전기과 학년만수 강/변경둘째날1 [B/L강좌] 시전체
114,화학공학과,1,,511002,화학공학개론 ***지속가능한화학공학의 이해,,3 3,,,,목13:30-1 :00,공나A 10 - 강의실(공용) 공나B 109 -멀티 강의실,화공과1학년만수 강/변경셋째날10 1학년만 수강
114,화학공학과,1,,601021,화공물리화학,""" ! #$",3,,,,,e-learning(온라인)1,시전체 [원격수업]
114,화학공학과,1,,602020,유기화학,,3,,,,금13:30-1 :00,공나A 10 - 강의실(공용),화공과학생만 수강/변경셋째날
114,화학공학과,2 3,전필 전선 전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,602602,공업수학(화학공학) 화공기초실습 나노재료공학 화공열역학 고분자합성 유무기복합소재이론및응 용 공정유체역학 화학공정실험 화학반응공학Ⅰ 취창업세미나(화학공학) 유무기응용화학이론및실 험,,3 3 3 3 3 3 3 3 3 3 3,,,김용렬 이주형 김용렬 배병철,금10:00-11:30 목13:30-1 :00 수10:00-11:30 목10:00-11:30,공나A 10 - 강의실(공용) 공나B 13 - 화공기초실험실 공나B 09 - 강의실(공용) 공나A 10 - 강의실(공용) 공나A 10 - 강의실(공용) 공나A 10 - 강의실(공용)/공나A 11 공나B 09 - 강의실(공용) 공나B 11 - 화학공학실험실 - 고분자융합소재실험실 공나A 10 - 강의실(공용) 공나B 09 - 강의실(공용)/공나B 10 - 화학공정실험실,"화공과2,3학년만 수강/변경셋째날 10시전체 10시전체 화공과3, 학년만 수강/변경셋째날 10시전체"
118,토목공학전공,3,전필 전선 전선,632066,수문학 구조역학I 암반역학 토질역학원론및연습 철근콘크리트공학 도로공학 기초공학 건설안전공학 강구조공학설계 수자원공학설계,,3 3 3 3 3 3 3 3 3 3,,,김윤희 신재환,목13:30-1 :00 목1 :30-17:30,공가A 11 - e-강의실(공용) 공가A 113 - e-강의실(공용) 공가A 112 - e-강의실(공용) 공가A 11 - e-강의실(공용) 공가A 11 - e-강의실(공용) 공가A 113 - e-강의실(공용) 공가A 112 - e-강의실(공용) 공가A 112 - e-강의실(공용) 정보 0 정보실습실I,
119,스마트시티전공,,,660013,도로용량및서비스수준분 석 교통체계분석,,3 3,,,,화10:00-11:30 수10:00-11:30,공가B 01 - 스마트도시이론강의실 공가B 11 - 도시설계실험실,
119,스마트시티전공,3,,660016,스마트시티관계법규 공공데이터기반공간분석 실습,,3 3,,,유상균,,공가B 02 - 스마트도시이론강의실 Ⅰ 정보 03 정보실습실J,시티만수강가능/ 수강변경 둘째날
119,스마트시티전공,3,,660017,스마트도시설계실습,,3,,,백인길,,공가B 13 - 환경설계실험실 Ⅱ,
119,스마트시티전공,3,,660020,스마트시티와도시개발,,3,,,,,공가B 13 - 환경설계실험실,11시
119,스마트시티전공,3,전선,660023,자율적지능형교통체계 공공교통시스템 캡스톤디자인(스마트도시 계획실습Ⅱ),,3 3 3,,,유상균,수09:30-11:00,공가B 01 - 스마트도시이론강의실 공가B 11 - 도시설계실험실 공가B 10 - 도시정보시스템실(GIS) Ⅰ,시티 학년만수강 가능/수강변경 둘째날 11시
121,데이터경영산업공학과,1,,612601,***데이터경영산업공학개 론 AI활용창의실습 공학회계,""" ! #$",3 3,,,최재호,화11:30-13:00 목13:30-1 :30,공나A 111 - e-강의실(공용) 공나A 211 -품질공학실험실 공나A 209 -,
121,데이터경영산업공학과,2,,612092,컴퓨터프로그래밍실습 생산프로세스이해 인공지능개론및실습,,3 3 3,,,신기태 김훈태,금1 :00-1 :30 수09:30-11:30 금11:30-13:30,강의실(공용) 공나A 212 - 빅데이터분석실 공나A 209 - 강의실(공용) 공나A 210 -,"[B/L강좌],산공 재학생만 [B/L강좌], AI융합학부"
121,데이터경영산업공학과,2,전필,612037,인간공학 생산계획및통제,,3 3 3,,,오용희,금09:30-11:30 목11:30-13:00 화1 :00-1 :30,강의실(공용) 공나A 209 - 강의실(공용) 공나A 209 - 강의실(공용),수강가능 수강불가
